包名,名称,UI界面,是否可用,图标正常,桌面启动,备注,
mmc-server,噢易多媒体网络教室软件（信创版）,,,,,无桌面快捷方式,
net.cnki.cajviewer,CAJViewer全文浏览器,是,是,是,是,,
net.cnki.cnkiexpress,全球学术报告,是,是,是,是,,
net.master-pdf,Master PDF 编辑器,是,是,是,是,,
net.textseek,TextSeek 文本搜索工具,,,,,启动无反应,
net.textseek.off,TextSeek (离线版)-文本搜索,,,,,启动无反应,
net.thunderbird,雷鸟邮件客户端,是,是,是,是,,
net.zhuoaninfo.pdf417.creator,卓安公文二维条形码生成软件,是,否,是,是,试用期结束,
org.aaai.aireview,智能阅卷,是,是,是,是,,
org.east.upsmart,UPSmart,是,否,是,否,"复制desktop的ll-cli命令可启动,双击不行",
pdmaner,PDManer 元数建模,是,是,是,是,,
photosir,PhotoSir,是,是,是,是,,
ppthelper-agent,PPT遥控翻页,是,是,是,是,,
smail.community,SMail安全邮件,是,是,是,是,,
store.spark-app.redict-dtk5,Redict词典,是,是,是,是,,
store.spark-app.wechat-linux-spark,微信Linux,是,是,是,是,,
sursen-reader,书生阅读器,,,,,需要root启动服务,
swt-swcx,河北省商务诚信,是,是,是,是,,
syl-safe,SYL OS电脑管家,,,,,没有包,
syl-smartclass,SYL智慧授课助手,,,,,没有包,
ttmz,天天码字,,,,,初始化设置表失败,
ubx-auxiliary,统信有往开发工具,是,是,是,是,,
ubx-server,统信有往服务,,,,,无快捷方式,
uclient,UClient,,,,,没有包,
uengine-dc-com.ay293.app,多多影视（安卓版）,,,,,没有包,
uos-youku-app,优酷视频,是,是,是,是,,
vip.evdo.deepin,医维度,是,是,是,是,,
weici-teaching,维词教学系统,是,是,是,是,,
wonderpen,妙笔,是,是,是,是,,
xcb-app,软通桥信创应用兼容适配客户端,是,否,是,是,需要sudo,
xcshy,校餐守护云,是,是,是,是,,
youzone,友空间,是,是,是,是,,
com.processon.processonclient,ProcessOn流程图,是,是,是,是,,
com.processon.processonmind,ProcessOn思维导图,是,是,是,是,,
